 [KERNEL] dyn_metrics
 *** Start  initialize
 *** setup constants
 *** PI   =    3.1415926535897931
 *** EPS  =    2.2204460492503131E-016
 *** HUGE =    1.7976931348623157E+308
 *** Finish initialize
 *** Start  kernel
 ### Input ###
 +check[GRD_x           ] max=  6.3712200000000000E+06,min= -2.8628180616668505E+06,sum=  1.6166957233794562E+11
 +check[OPRT_coef_div_pl] max=  6.2151734035396485E-06,min= -6.2403951821699556E-06,sum= -5.7718744084929148E-18
 +check[OPRT_coef_rot   ] max=  8.1249192032461006E-06,min= -7.0395716053182478E-06,sum=  2.3097297194950381E-03
 +check[OPRT_coef_rot_pl] max=  6.2404355542613550E-06,min= -6.2404355543568453E-06,sum=  4.2351647362717063E-21
 +check[OPRT_coef_grad  ] max=  7.7272073614988493E-06,min= -1.2825075745499174E-05,sum= -2.1798494541543090E-15
 +check[OPRT_coef_grad_p] max=  6.2151734035396485E-06,min= -6.2403951821699556E-06,sum= -1.5999013079367891E-16
 +check[OPRT_coef_lap   ] max=  3.5452458386961528E-10,min= -1.7726229191835529E-09,sum=  1.2288085947023176E-19
 +check[OPRT_coef_lap_pl] max=  6.4022976414655483E-11,min= -3.2011488205192188E-10,sum= -2.5849394142282115E-26
 +check[OPRT_coef_intp  ] max=  3.6115131385634586E-05,min= -3.3754836603906562E-05,sum= -1.5562860020137391E-02
 +check[OPRT_coef_intp_p] max=  1.4672104347041053E-05,min= -1.4672104346943412E-05,sum= -5.5950893679780817E-18
 +check[OPRT_coef_diff  ] max=  8.2996786251001330E-06,min= -8.2996786252246621E-06,sum= -1.9028303446381690E-03
 +check[OPRT_coef_diff_p] max=  8.7267985478016760E-06,min= -8.7267985476920055E-06,sum= -2.8863706468874352E-18
 ### Varidation by diff ###
 +check[check_GMTR_p    ] max=  0.0000000000000000E+00,min=  0.0000000000000000E+00,sum=  0.0000000000000000E+00
 +check[check_GMTR_p_pl ] max=  0.0000000000000000E+00,min=  0.0000000000000000E+00,sum=  0.0000000000000000E+00
 +check[check_GMTR_t    ] max=  0.0000000000000000E+00,min=  0.0000000000000000E+00,sum=  0.0000000000000000E+00
 +check[check_GMTR_t_pl ] max=  0.0000000000000000E+00,min=  0.0000000000000000E+00,sum=  0.0000000000000000E+00
 +check[check_GMTR_a    ] max=  0.0000000000000000E+00,min=  0.0000000000000000E+00,sum=  0.0000000000000000E+00
 +check[check_GMTR_a_pl ] max=  0.0000000000000000E+00,min=  0.0000000000000000E+00,sum=  0.0000000000000000E+00
 +check[check_OPRT_coef_] max=  0.0000000000000000E+00,min=  0.0000000000000000E+00,sum=  0.0000000000000000E+00
 +check[check_OPRT_coef_] max=  0.0000000000000000E+00,min=  0.0000000000000000E+00,sum=  0.0000000000000000E+00
 +check[check_OPRT_coef_] max=  0.0000000000000000E+00,min=  0.0000000000000000E+00,sum=  0.0000000000000000E+00
 +check[check_OPRT_coef_] max=  0.0000000000000000E+00,min=  0.0000000000000000E+00,sum=  0.0000000000000000E+00
 +check[check_OPRT_coef_] max=  0.0000000000000000E+00,min=  0.0000000000000000E+00,sum=  0.0000000000000000E+00
 +check[check_OPRT_coef_] max=  0.0000000000000000E+00,min=  0.0000000000000000E+00,sum=  0.0000000000000000E+00
 +check[check_OPRT_coef_] max=  0.0000000000000000E+00,min=  0.0000000000000000E+00,sum=  0.0000000000000000E+00
 +check[check_OPRT_coef_] max=  0.0000000000000000E+00,min=  0.0000000000000000E+00,sum=  0.0000000000000000E+00
 +check[check_OPRT_coef_] max=  0.0000000000000000E+00,min=  0.0000000000000000E+00,sum=  0.0000000000000000E+00
 +check[check_OPRT_coef_] max=  0.0000000000000000E+00,min=  0.0000000000000000E+00,sum=  0.0000000000000000E+00
 +check[check_OPRT_coef_] max=  0.0000000000000000E+00,min=  0.0000000000000000E+00,sum=  0.0000000000000000E+00
 +check[check_OPRT_coef_] max=  0.0000000000000000E+00,min=  0.0000000000000000E+00,sum=  0.0000000000000000E+00
 *** Finish kernel

 *** Computational Time Report
 *** ID=001 : MAIN_dyn_metrics                 T=     0.076 N=      1
